Title,URL,Category
"The Burpee","https://www.youtube.com/watch?v=auBLPXO8Fww&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=1&pp=iAQB","Cardio"
"Push Press","https://www.youtube.com/watch?v=iaBVSJm78ko&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=3&pp=iAQB", "Ramena"
"Clean and Jerk","https://www.youtube.com/watch?v=PjY1rH4_MOA&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=5&pp=iAQB","Crossfit"
"Front Squat","https://www.youtube.com/watch?v=uYumuL_G_V0&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=7&pp=iAQB", "Noge"
"Deadlift","https://www.youtube.com/watch?v=1ZXobu7JvvE&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=8&pp=iAQB", "Ledja"
"Shoulder Press","https://www.youtube.com/watch?v=5yWaNOvgFCM&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=11&pp=iAQB","Ramena"
"Kettlebell Swing","https://www.youtube.com/watch?v=mKDIuUbH94Q&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=19&pp=iAQB","Full body"
"Push-Up","https://www.youtube.com/watch?v=0pkjOk0EiAk&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=20&pp=iAQB","Grudi"
"Bench Press","https://www.youtube.com/watch?v=SCVCLChPQFY&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=21&pp=iAQB","Grudi"
"Box Step-Up","https://www.youtube.com/watch?v=5qjqDHOUh-A&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=23&pp=iAQB","Noge"
"Back Squat","https://www.youtube.com/watch?v=QmZAiBqPvZw&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=24&pp=iAQB","Noge"
"Romanian Deadlift", "https://youtu.be/7j-2w4-P14I?si=YAQOh4g2O1KE6vhx", "Noge"
"Leg Extension", "https://youtu.be/4ZDm5EbiFI8?si=0_WC3xRHIfSDwZXo", "Noge"
"Box Jump","https://www.youtube.com/watch?v=NBY9-kTuHEk&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=26&pp=iAQB","Cardio"
"The Kettlebell Snatch","https://www.youtube.com/watch?v=Pm-b2XFeABA&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=28&pp=iAQB","Crossfit"
"Walking Lunge","https://www.youtube.com/watch?v=DlhojghkaQ0&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=36&pp=iAQB","Noge"
"Pull-Over","https://www.youtube.com/watch?v=faJDYEZmueM&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=43&pp=iAQB","Crossfit"
"Hanging L-Sit","https://www.youtube.com/watch?v=WHi1bvZLwlw&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=52&pp=iAQB","Stomak"
"Pull-up Modification","https://www.youtube.com/watch?v=u5Af6gQa554&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=95&pp=iAQB","Ledja"
"Toes-to-bar Modifications","https://www.youtube.com/watch?v=vStgCiR-u_k&list=PLdWvFCOAvyr3EWQhtfcEMd3DVM5sJdPL4&index=97&pp=iAQB","Stomak"
"Back extension", "https://youtu.be/ivDB23Kcv-A?si=rLwsUXvH0cuos8nS", "Ledja"
"Bicep Curl", "https://youtu.be/HnHuhf4hEWY?si=N_yKYcuNJKEaoAE3", "Ruke"
"Triceps Extension", "https://youtu.be/_JoblP7fggo?si=2i3VNW0zH7CUb42v", "Ruke"
"Tricpes Pushdown", "https://youtu.be/LXkCrxn3caQ?si=sylT-KI5FQczXrem", "Ruke"
"Dumbell Incline Chest Press", "https://youtu.be/6tW4LUaOxlE?si=wOwmr5vc8EXVRnQ7", "Grudi"
"Back Row", "https://youtu.be/bm0_q9bR_HA?si=2HMpsJUQiDUwPuCY", "Ledja"
"Bulgarian Split Squat", "https://youtu.be/vgn7bSXkgkA?si=rk-XMqOk_tinqaGX", "Noge"
"Plank", "https://youtu.be/6LqqeBtFn9M?si=y8t4U706ipNJH8ee", "Stomak"
"Crunches", "https://youtu.be/0t4t3IpiEao?si=PGTNC-yVIgYKuMm4", "Stomak"
"Lateral Raises", "https://youtu.be/-WEZj9ePTYI?si=2OzzhG6thrVGbVuU", "Ramena"
